Fecha,Hora,Variable,Valor,Unidad,Lugar
42751,17,Velocidad registrada,10.42,m/s,Barranquilla
42751,18,Velocidad registrada,9.03,m/s,Barranquilla
42751,19,Velocidad registrada,10.22,m/s,Barranquilla
42751,20,Velocidad registrada,11.42,m/s,Barranquilla
42751,21,Velocidad registrada,13.05,m/s,Barranquilla
42751,22,Velocidad registrada,13.43,m/s,Barranquilla
42751,23,Velocidad registrada,12.78,m/s,Barranquilla
42752,0,Velocidad registrada,11.38,m/s,Barranquilla
42752,1,Velocidad registrada,12.28,m/s,Barranquilla
42752,2,Velocidad registrada,10.93,m/s,Barranquilla
42752,3,Velocidad registrada,10.82,m/s,Barranquilla
42752,4,Velocidad registrada,12.27,m/s,Barranquilla
42752,5,Velocidad registrada,14.12,m/s,Barranquilla
42752,6,Velocidad registrada,13.05,m/s,Barranquilla
42752,7,Velocidad registrada,11.37,m/s,Barranquilla
42752,8,Velocidad registrada,11.5,m/s,Barranquilla
42752,9,Velocidad registrada,11.68,m/s,Barranquilla
42752,10,Velocidad registrada,11.62,m/s,Barranquilla
42752,11,Velocidad registrada,9.97,m/s,Barranquilla
42752,12,Velocidad registrada,5.78,m/s,Barranquilla
42752,13,Velocidad registrada,7.72,m/s,Barranquilla
42752,14,Velocidad registrada,8.92,m/s,Barranquilla
42752,15,Velocidad registrada,9.9,m/s,Barranquilla
42752,16,Velocidad registrada,9.42,m/s,Barranquilla
42752,17,Velocidad registrada,8.35,m/s,Barranquilla
42752,18,Velocidad registrada,9.08,m/s,Barranquilla
42752,19,Velocidad registrada,9.15,m/s,Barranquilla
42752,20,Velocidad registrada,8.12,m/s,Barranquilla
42752,21,Velocidad registrada,8.88,m/s,Barranquilla
42752,22,Velocidad registrada,9.78,m/s,Barranquilla
42752,23,Velocidad registrada,9.43,m/s,Barranquilla
42753,0,Velocidad registrada,10.03,m/s,Barranquilla
42753,1,Velocidad registrada,8.9,m/s,Barranquilla
42753,2,Velocidad registrada,7.25,m/s,Barranquilla
42753,3,Velocidad registrada,7.73,m/s,Barranquilla
42753,4,Velocidad registrada,7.68,m/s,Barranquilla
42753,5,Velocidad registrada,8.1,m/s,Barranquilla
42753,6,Velocidad registrada,5.78,m/s,Barranquilla
42753,7,Velocidad registrada,3.8,m/s,Barranquilla
42753,8,Velocidad registrada,2.85,m/s,Barranquilla
42753,9,Velocidad registrada,3.12,m/s,Barranquilla
42753,10,Velocidad registrada,5.8,m/s,Barranquilla
42753,11,Velocidad registrada,7.98,m/s,Barranquilla
42753,12,Velocidad registrada,8.03,m/s,Barranquilla
42753,13,Velocidad registrada,7.78,m/s,Barranquilla
42753,14,Velocidad registrada,8.05,m/s,Barranquilla
42753,15,Velocidad registrada,7.88,m/s,Barranquilla
42753,16,Velocidad registrada,6.7,m/s,Barranquilla
42753,17,Velocidad registrada,8.2,m/s,Barranquilla
42753,18,Velocidad registrada,8.68,m/s,Barranquilla
42753,19,Velocidad registrada,7.67,m/s,Barranquilla
42753,20,Velocidad registrada,5.9,m/s,Barranquilla
42753,21,Velocidad registrada,5.82,m/s,Barranquilla
42753,22,Velocidad registrada,6.38,m/s,Barranquilla
42753,23,Velocidad registrada,5,m/s,Barranquilla
42754,0,Velocidad registrada,4.97,m/s,Barranquilla
42754,1,Velocidad registrada,3.88,m/s,Barranquilla
42754,2,Velocidad registrada,4.38,m/s,Barranquilla
42754,3,Velocidad registrada,4.33,m/s,Barranquilla
42754,4,Velocidad registrada,3.55,m/s,Barranquilla
42754,5,Velocidad registrada,2.12,m/s,Barranquilla
42754,6,Velocidad registrada,1.95,m/s,Barranquilla
42754,7,Velocidad registrada,5.23,m/s,Barranquilla
42754,8,Velocidad registrada,7.27,m/s,Barranquilla
42754,9,Velocidad registrada,5.65,m/s,Barranquilla
42754,10,Velocidad registrada,4.92,m/s,Barranquilla
42754,11,Velocidad registrada,5.93,m/s,Barranquilla
42754,12,Velocidad registrada,6.53,m/s,Barranquilla
42754,13,Velocidad registrada,6.95,m/s,Barranquilla
42754,14,Velocidad registrada,6.37,m/s,Barranquilla
42754,15,Velocidad registrada,5.77,m/s,Barranquilla
42754,16,Velocidad registrada,4.77,m/s,Barranquilla
42754,17,Velocidad registrada,4.33,m/s,Barranquilla
42754,18,Velocidad registrada,3.27,m/s,Barranquilla
42754,19,Velocidad registrada,3.43,m/s,Barranquilla
42754,20,Velocidad registrada,3.48,m/s,Barranquilla
42754,21,Velocidad registrada,2.6,m/s,Barranquilla
42754,22,Velocidad registrada,4.4,m/s,Barranquilla
42754,23,Velocidad registrada,3.2,m/s,Barranquilla
42755,0,Velocidad registrada,3.22,m/s,Barranquilla
42755,1,Velocidad registrada,3.02,m/s,Barranquilla
42755,2,Velocidad registrada,3.28,m/s,Barranquilla
42755,3,Velocidad registrada,2.43,m/s,Barranquilla
42755,4,Velocidad registrada,2.12,m/s,Barranquilla
42755,5,Velocidad registrada,2.12,m/s,Barranquilla
42755,6,Velocidad registrada,1.35,m/s,Barranquilla
42755,7,Velocidad registrada,1.75,m/s,Barranquilla
42755,8,Velocidad registrada,2.63,m/s,Barranquilla
42755,9,Velocidad registrada,3.78,m/s,Barranquilla
42755,10,Velocidad registrada,3.95,m/s,Barranquilla
42755,11,Velocidad registrada,3.23,m/s,Barranquilla
42755,12,Velocidad registrada,4.72,m/s,Barranquilla
42755,13,Velocidad registrada,6.52,m/s,Barranquilla
42755,14,Velocidad registrada,7.67,m/s,Barranquilla
42755,15,Velocidad registrada,5.4,m/s,Barranquilla
42755,16,Velocidad registrada,5.07,m/s,Barranquilla
42755,17,Velocidad registrada,4.3,m/s,Barranquilla
42755,18,Velocidad registrada,3.65,m/s,Barranquilla
42755,19,Velocidad registrada,3.87,m/s,Barranquilla
42755,20,Velocidad registrada,3.25,m/s,Barranquilla
42755,21,Velocidad registrada,5.08,m/s,Barranquilla
42755,22,Velocidad registrada,5.05,m/s,Barranquilla
